probing 452 candidate IDs (Round 2)...
  HIT 1737500: NTRP Men's 4.0 Doubles | n=124 | Howard, Danny
  HIT 1738000: None | n=6 | Speer, Jennifer
  HIT 1738500: None | n=45 | Nayak, Dev
  HIT 1739000: Girls' 12 Singles | n=129 | Miller, Vivian
  HIT 1739500: *Boys' 16 Endorsement + (Combined) | n=187 | Sridhar, Sangeet
  HIT 1740000: None | n=1 | Stroud, Conner
  HIT 1740500: Women's 4.5 Singles | n=6 | Butler, Tabatha
  HIT 1741000: Mixed 70 Doubles | n=1 | Schlueter, R /Simonton, K
  HIT 1742500: *Boys 16 Standings (Combined) | n=47 | Fritts, James
  HIT 1743500: *KY Boys 18 (Combined) | n=142 | Singerman, Drew
  HIT 1744500: None | n=559 | Spizzirri, Eliot
  HIT 1745000: Girls' 12 Singles | n=63 | Myers, Ellie
  HIT 1745500: *Girls' 14 Summer Endorsement (Combined) | n=71 | Pielet, Gianna
  HIT 1746000: None | n=124 | Petty, Katherine
  HIT 1746500: None | n=50 | Kintiroglou, Mia
  HIT 1747000: Mens 80 Doubles Seeding | n=14 | Winegar, M /Thoms, A
  HIT 1748000: None | n=360 | Byrd, Mya
  HIT 1748500: 12 Month Rolling Standing List National Women's 90 | n=8 | Price, Rita
  HIT 1749000: Senior 50 NTRP Women's 3.5 Doubles | n=20 | Kovaleski, Vicki
  HIT 1750000: Boys' 14 Singles | n=30 | Lu, Andrew
  HIT 1750500: *Boys' 18 Singles + (Combined) | n=205 | Prost, Ethan
  HIT 1751000: 12Month Rolling Standing Nat. Men's 65 Indiv. Dbls | n=344 | Wofford, Leonard
  HIT 1751500: *Boys 10's TR (Combined) | n=33 | Garrett, Everett
  HIT 1752000: Women's 55 Doubles | n=41 | Vander Berg, C /Hubbart, D
  HIT 1752500: Men's 65 Team Doubles | n=10 | Abbott, A /Walton, J
  HIT 1752950: Women's 65 Singles | n=2 | Abbott, Kathleen
  HIT 1752952: Women's 55 Singles | n=4 | Peebles, SuLan
  HIT 1752954: Women's 45 Singles | n=8 | Weikel, Sandra
  HIT 1752955: Women's 40 Singles | n=2 | Joseph, Lisa
  HIT 1752958: None | n=65 | Puehse, Natasha
  HIT 1752959: 12Month Rolling Standing Nat Women's 65 Team Dbls | n=95 | Hubbard, B /Babb, C
  HIT 1752960: 12Month Rolling Standing Nat Women's 65 Indiv.Dbls | n=154 | Hahn, Molly
  HIT 1752961: 12 Month Rolling Standing List National Women's 65 | n=86 | Barnes, Kathy
  HIT 1752962: None | n=20 | Tonidandel, J /Tonidandel, R
  HIT 1752963: None | n=41 | Parker, C /Parker, J
  HIT 1752964: None | n=36 | Morse-Karzen, J /Morse-Karzen, B
  HIT 1752965: None | n=226 | Lake, T /Lake, A
  HIT 1752966: None | n=20 | Tonidandel, J /Tonidandel, R
  HIT 1752967: None | n=41 | Parker, C /Parker, J
  HIT 1752968: None | n=36 | Morse-Karzen, J /Morse-Karzen, B
  HIT 1752969: None | n=226 | Lake, T /Lake, A
  HIT 1752970: Girls' 10 Singles | n=8 | RANGAN, TIANNA
  HIT 1752971: Boys' 10 Singles | n=12 | Hagen, Blake
  HIT 1752972: Girls' 10 Singles | n=5 | Herrera, Regina
  HIT 1752973: Boys' 10 Singles | n=8 | Nambiar, Pranav
  HIT 1752974: Girls' 10 Singles | n=26 | RANGAN, TIANNA
  HIT 1752975: Boys' 10 Singles | n=49 | Hagen, Blake
  HIT 1752976: Girls' 10 Singles | n=59 | Herrera, Regina
  HIT 1752977: Boys' 10 Singles | n=77 | Nambiar, Pranav
  HIT 1752978: *STA Girls 18 Standings (Combined) | n=1354 | Kurtz, Emma
  HIT 1752979: None | n=1084 | Kurtz, Emma
  HIT 1752980: None | n=814 | Kurtz, Emma
  HIT 1752981: *STA Boys 18 Standings (Combined) | n=1707 | Huryn, Aleks
  HIT 1752982: *Boys 18 Combined (Combined) | n=1410 | Huryn, Aleks
  HIT 1752983: *Boys 18 Combined (Combined) | n=1057 | Pratt, Jared
  HIT 1752984: *STA Girls 16 Standings (Combined) | n=1469 | Beck, Chloe
  HIT 1752985: None | n=1348 | Hrastar, Ava
  HIT 1752986: None | n=767 | Beck, Chloe
  HIT 1752988: None | n=1544 | Chopra, Keshav
  HIT 1752989: None | n=847 | Croyder, Blake
  HIT 1752990: *STA Girls 14 Standings (Combined) | n=1483 | Collins, Kylie
  HIT 1752991: None | n=1387 | Collins, Kylie
  HIT 1752992: None | n=767 | Collins, Kylie
  HIT 1752993: *STA Boys 14 Standings (Combined) | n=1761 | Tracy, JJ
  HIT 1752994: None | n=1637 | Tracy, JJ
  HIT 1752995: None | n=933 | Tracy, JJ
  HIT 1752996: *STA Boys 12 Standings (Combined) | n=1477 | Lilov, Victor
  HIT 1752997: None | n=1420 | Lilov, Victor
  HIT 1752998: None | n=682 | Lilov, Victor
  HIT 1752999: *STA Girls 12 Standings (Combined) | n=1308 | Thornton, Maeve
  HIT 1753000: None | n=1257 | Thornton, Maeve
  HIT 1753001: None | n=618 | Chan, Jo-Yee
